GameDataRecords from User Named:ALOM
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_CollGreen,1000.0,15831.470703,0.583984,0.0
1,E_Success_CollGreen,1000.0,15831.470703,0.583984,0.0
1,E_Failure_CollRed,1000.0,15831.470703,0.583984,0.0
1,E_Failure_CollRed,1000.0,15831.470703,0.583984,0.0
1,E_Success_InterCeptRed,1000.0,15832.054688,0.525391,0.0
1,E_Failure_CollRed,1000.0,15832.054688,0.586914,0.0
1,E_Success_CollGreen,1000.0,15832.054688,0.586914,0.0
1,E_Success_CollGreen,1000.0,15832.054688,0.586914,0.0
1,E_Success_InterCeptRed,1000.0,15832.641602,0.467773,0.0
1,E_Success_CollGreen,1000.0,15832.580078,0.574219,0.0
1,E_Failure_CollRed,1000.0,15832.641602,0.575195,0.0
1,E_Failure_CollRed,1000.0,15832.641602,0.575195,0.0
1,E_Failure_CollRed,1000.0,15833.109375,0.567383,0.0
1,E_Failure_CollRed,1000.0,15833.154297,0.569336,0.0
1,E_Failure_CollRed,1000.0,15833.216797,0.570312,0.0
1,E_Failure_CollRed,1000.0,15833.216797,0.570312,0.0
1,E_Failure_InterCeptGreen,1000.0,15833.787109,0.116211,0.0
1,E_Success_CollGreen,1000.0,15833.676758,0.572266,0.0
1,E_Failure_InterCeptGreen,1000.0,15833.787109,0.508789,0.0
1,E_Success_CollGreen,1000.0,15833.723633,0.575195,0.0
1,E_Success_CollGreen,1000.0,15833.90332,0.571289,0.0
1,E_Success_CollGreen,1000.0,15834.249023,0.583008,0.45
1,E_Failure_CollRed,1000.0,15834.295898,0.576172,0.45
1,E_Success_CollGreen,1000.0,15834.298828,0.581055,0.45
1,E_Success_CollGreen,1000.0,15834.474609,0.578125,0.5
1,E_Success_InterCeptRed,1000.0,15834.879883,0.387695,0.5
1,E_Failure_CollRed,1000.0,15834.832031,0.576172,0.55
1,E_Success_CollGreen,1000.0,15834.87207,0.578125,0.5
1,E_Success_InterCeptRed,1000.0,15835.408203,0.167969,0.5
1,E_Failure_CollRed,1000.0,15835.052734,0.576172,0.5
1,E_Failure_CollRed,1000.0,15835.267578,0.573242,0.45
1,E_Success_CollGreen,1000.0,15835.450195,0.573242,0.45
1,E_Success_CollGreen,1000.0,15835.576172,0.568359,0.5
1,E_Success_CollGreen,1000.0,15835.628906,0.570312,0.55
1,E_Failure_CollRed,1000.0,15835.84082,0.571289,0.6
1,E_Failure_InterCeptGreen,1000.0,15836.412109,0.181641,0.6
1,E_Success_CollGreen,1000.0,15836.023438,0.570312,0.6
1,E_Failure_CollRed,1000.0,15836.144531,0.568359,0.65
1,E_Failure_CollRed,1000.0,15836.199219,0.568359,0.6
1,E_Failure_InterCeptGreen,1000.0,15836.712891,0.155273,0.6
1,E_Failure_InterCeptGreen,1000.0,15836.59375,0.290039,0.55
1,E_Success_InterCeptRed,1000.0,15836.868164,0.282227,0.5
1,E_Success_CollGreen,1000.0,15836.59375,0.570312,0.5
1,E_Success_InterCeptRed,1000.0,15836.767578,0.517578,0.55
1,E_Failure_CollRed,1000.0,15836.883789,0.576172,0.55
1,E_Failure_CollRed,1000.0,15837.150391,0.576172,0.5
1,E_Failure_CollRed,1000.0,15837.164062,0.582031,0.45
1,E_Success_CollGreen,1000.0,15837.285156,0.578125,0.45
1,E_Failure_InterCeptGreen,1000.0,15837.746094,0.21875,0.45
1,E_Failure_CollRed,1000.0,15837.459961,0.580078,0.4
1,E_Success_InterCeptRed,1000.0,15838.040039,0.210938,0.4
1,E_Success_CollGreen,1000.0,15837.726562,0.581055,0.45
1,E_Success_CollGreen,1000.0,15837.863281,0.580078,0.45
1,E_Success_CollGreen,1000.0,15837.964844,0.569336,0.45
1,E_Success_CollGreen,1000.0,15838.250977,0.574219,0.45
1,E_Success_CollGreen,1000.0,15838.307617,0.571289,0.5
1,E_Success_CollGreen,1000.0,15838.443359,0.574219,0.55
1,E_Success_InterCeptRed,1000.0,15838.53418,0.520508,0.55
1,E_Success_CollGreen,1000.0,15838.825195,0.577148,0.6
1,E_Success_CollGreen,1000.0,15838.878906,0.574219,0.65
1,E_Success_CollGreen,1000.0,15839.017578,0.573242,0.7
1,E_Success_CollGreen,1000.0,15839.054688,0.570312,0.75
1,E_Failure_InterCeptGreen,1000.0,15839.453125,0.317383,0.75
1,E_Failure_CollRed,1000.0,15839.402344,0.574219,0.7
1,E_Success_InterCeptRed,1000.0,15839.976562,0.168945,0.65
1,E_Failure_CollRed,1000.0,15839.59082,0.574219,0.7
1,E_Failure_CollRed,1000.0,15839.625,0.572266,0.7
1,E_Success_CollGreen,1000.0,15839.770508,0.566406,0.7
1,E_Failure_CollRed,1000.0,15840.145508,0.572266,0.7
1,E_Failure_CollRed,1000.0,15840.165039,0.572266,0.7
1,E_Success_CollGreen,1000.0,15840.197266,0.573242,0.7
1,E_Success_InterCeptRed,1000.0,15840.336914,0.485352,0.7
1,E_Success_InterCeptRed,1000.0,15840.822266,0.285156,0.7
1,E_Success_CollGreen,1000.0,15840.717773,0.572266,0.7
1,E_Success_CollGreen,1000.0,15840.737305,0.572266,0.7
1,E_Success_CollGreen,1000.0,15840.770508,0.573242,0.7
1,E_Failure_CollRed,1000.0,15841.107422,0.573242,0.7
1,E_Success_InterCeptRed,1000.0,15841.34375,0.370117,0.65
1,E_Failure_CollRed,1000.0,15841.290039,0.578125,0.65
1,E_Failure_CollRed,1000.0,15841.30957,0.577148,0.6
1,E_Failure_InterCeptGreen,1000.0,15841.713867,0.240234,0.55
1,E_Success_InterCeptRed,1000.0,15841.886719,0.34668,0.5
1,E_Failure_CollRed,1000.0,15841.680664,0.572266,0.5
1,E_Failure_CollRed,1000.0,15841.868164,0.579102,0.5
1,E_Success_CollGreen,1000.0,15841.954102,0.577148,0.5
1,E_Success_CollGreen,1000.0,15842.233398,0.575195,0.5
1,E_Failure_CollRed,1000.0,15842.25293,0.578125,0.55
1,E_Failure_InterCeptGreen,1000.0,15842.447266,0.419922,0.55
1,E_Success_CollGreen,1000.0,15842.53125,0.569336,0.5
1,E_Success_InterCeptRed,1000.0,15842.831055,0.453125,0.55
1,E_Success_CollGreen,1000.0,15842.808594,0.564453,0.6
1,E_Success_CollGreen,1000.0,15842.867188,0.56543,0.6
1,E_Failure_CollRed,1000.0,15843.100586,0.570312,0.6
1,E_Failure_CollRed,1000.0,15843.28418,0.571289,0.55
1,E_Success_CollGreen,1000.0,15843.373047,0.572266,0.5
1,E_Success_CollGreen,1000.0,15843.432617,0.568359,0.5
1,E_Failure_InterCeptGreen,1000.0,15843.670898,0.364258,0.5
1,E_Success_CollGreen,1000.0,15843.855469,0.571289,0.5
1,E_Failure_InterCeptGreen,1000.0,15843.945312,0.500977,0.5
1,E_Success_CollGreen,1000.0,15844.000977,0.576172,0.5
1,E_Success_CollGreen,1000.0,15844.035156,0.573242,0.55
1,E_Success_CollGreen,1000.0,15844.426758,0.583984,0.6
1,E_Success_CollGreen,1000.0,15844.446289,0.580078,0.6
1,E_Success_CollGreen,1000.0,15844.577148,0.582031,0.65
1,E_Success_CollGreen,1000.0,15844.608398,0.582031,0.7
1,E_Failure_InterCeptGreen,1000.0,15845.15918,0.265625,0.7
1,E_Failure_CollRed,1000.0,15845.010742,0.585938,0.65
1,E_Success_CollGreen,1000.0,15845.026367,0.585938,0.65
1,E_Success_InterCeptRed,1000.0,15845.59668,0.055664,0.7
1,E_Success_CollGreen,1000.0,15845.19043,0.584961,0.7
1,E_Success_CollGreen,1000.0,15845.424805,0.583008,0.7
1,E_Failure_CollRed,1000.0,15845.612305,0.583008,0.7
1,E_Failure_CollRed,1000.0,15845.652344,0.578125,0.65
1,E_Failure_InterCeptGreen,1000.0,15846.230469,0.12207,0.65
1,E_Success_CollGreen,1000.0,15845.775391,0.584961,0.65
1,E_Success_CollGreen,1000.0,15846.007812,0.584961,0.65
1,E_Failure_InterCeptGreen,1000.0,15846.352539,0.254883,0.65
1,E_Success_InterCeptRed,1000.0,15846.195312,0.436523,0.65
1,E_Success_CollGreen,1000.0,15846.360352,0.580078,0.65
1,E_Failure_CollRed,1000.0,15846.592773,0.575195,0.7
1,E_Success_CollGreen,1000.0,15846.607422,0.573242,0.65
1,E_Failure_CollRed,1000.0,15846.631836,0.575195,0.65
1,E_Failure_InterCeptGreen,1000.0,15847.167969,0.205078,0.6
1,E_Success_InterCeptRed,1000.0,15846.94043,0.508789,0.55
1,E_Failure_CollRed,1000.0,15847.180664,0.578125,0.55
1,E_Failure_CollRed,1000.0,15847.207031,0.579102,0.5
1,E_Failure_CollRed,1000.0,15847.373047,0.580078,0.5
1,E_Failure_CollRed,1000.0,15847.449219,0.578125,0.5
1,E_Success_CollGreen,1000.0,15847.758789,0.581055,0.45
1,E_Success_CollGreen,1000.0,15847.786133,0.581055,0.45
1,E_Success_CollGreen,1000.0,15847.953125,0.581055,0.45
1,E_Success_CollGreen,1000.0,15848.027344,0.580078,0.45
1,E_Success_CollGreen,1000.0,15848.339844,0.580078,0.5
1,E_Success_CollGreen,1000.0,15848.367188,0.579102,0.55
1,E_Success_CollGreen,1000.0,15848.53418,0.577148,0.6
1,E_Success_InterCeptRed,1000.0,15848.607422,0.556641,0.6
1,E_Failure_CollRed,1000.0,15848.919922,0.578125,0.6
1,E_Success_CollGreen,1000.0,15848.946289,0.579102,0.6
1,E_Success_InterCeptRed,1000.0,15849.111328,0.456055,0.6
1,E_Success_CollGreen,1000.0,15849.164062,0.576172,0.6
1,E_Success_InterCeptRed,1000.0,15849.498047,0.484375,0.65
1,E_Failure_CollRed,1000.0,15849.525391,0.579102,0.65
1,E_Failure_CollRed,1000.0,15849.567383,0.580078,0.65
1,E_Success_CollGreen,1000.0,15849.740234,0.580078,0.65
1,E_Success_CollGreen,1000.0,15849.982422,0.581055,0.65
1,E_Success_InterCeptRed,1000.0,15850.320312,0.336914,0.7
1,E_Success_CollGreen,1000.0,15850.104492,0.583984,0.75
1,E_Success_CollGreen,1000.0,15850.147461,0.587891,0.8
1,E_Success_CollGreen,1000.0,15850.563477,0.586914,0.85
1,E_Success_CollGreen,1000.0,15850.657227,0.581055,0.85
1,E_Failure_CollRed,1000.0,15850.688477,0.584961,0.85
1,E_Success_InterCeptRed,1000.0,15850.735352,0.541992,0.8
1,E_Failure_InterCeptGreen,1000.0,15851.277344,0.246094,0.8
1,E_Success_InterCeptRed,1000.0,15851.150391,0.380859,0.75
1,E_Success_InterCeptRed,1000.0,15851.53125,0.268555,0.75
1,E_Success_CollGreen,1000.0,15851.238281,0.581055,0.75
1,E_Failure_CollRed,1000.0,15851.273438,0.581055,0.75
1,E_Success_InterCeptRed,1000.0,15851.854492,0.050781,0.75
1,E_Success_CollGreen,1000.0,15851.523438,0.580078,0.75
1,E_Failure_CollRed,1000.0,15851.799805,0.579102,0.75
1,E_Failure_CollRed,1000.0,15851.819336,0.579102,0.7
1,E_Failure_CollRed,1000.0,15851.905273,0.571289,0.65
1,E_Failure_InterCeptGreen,1000.0,15852.398438,0.15918,0.65
1,E_Success_CollGreen,1000.0,15852.103516,0.577148,0.65
1,E_Success_CollGreen,1000.0,15852.378906,0.583984,0.65
1,E_Success_InterCeptRed,1000.0,15852.476562,0.569336,0.65
1,E_Success_CollGreen,1000.0,15852.557617,0.579102,0.65
1,E_Success_CollGreen,1000.0,15852.680664,0.583008,0.65
1,E_Success_InterCeptRed,1000.0,15853.045898,0.445312,0.65
1,E_Success_CollGreen,1000.0,15852.962891,0.574219,0.65
1,E_Failure_CollRed,1000.0,15853.136719,0.576172,0.65
1,E_Failure_CollRed,1000.0,15853.263672,0.582031,0.65
1,E_Failure_InterCeptGreen,1000.0,15853.845703,0.039062,0.6
1,E_Failure_CollRed,1000.0,15853.491211,0.578125,0.6
1,E_Failure_CollRed,1000.0,15853.537109,0.579102,0.55
1,E_Success_InterCeptRed,1000.0,15854.116211,0.026367,0.5
1,E_Failure_CollRed,1000.0,15853.712891,0.581055,0.5
1,E_Failure_InterCeptGreen,1000.0,15854.142578,0.256836,0.5
1,E_Failure_CollRed,1000.0,15853.884766,0.573242,0.45
1,E_Success_InterCeptRed,1000.0,15854.069336,0.453125,0.4
1,E_Success_InterCeptRed,1000.0,15854.293945,0.53418,0.45
1,E_Failure_CollRed,1000.0,15854.399414,0.573242,0.5
1,E_Failure_CollRed,1000.0,15854.458008,0.575195,0.5
1,E_Failure_InterCeptGreen,1000.0,15855.033203,0.041992,0.5
1,E_Failure_CollRed,1000.0,15854.522461,0.570312,0.45
1,E_Success_InterCeptRed,1000.0,15855.092773,0.265625,0.4
1,E_Success_CollGreen,1000.0,15854.828125,0.570312,0.4
1,E_Failure_CollRed,1000.0,15854.972656,0.572266,0.4
1,E_Failure_CollRed,1000.0,15855.075195,0.571289,0.35
1,E_Failure_InterCeptGreen,1000.0,15855.544922,0.150391,0.3
1,E_Success_CollGreen,1000.0,15855.358398,0.573242,0.25
