GameDataRecords from User Named:ren
ren 
EXPDayIndex,ResultType,CurrentUsedSpeed,LaunchedTime,ReactiontimeInterval,CurrentSuccessRate
1,E_Success_CollGreen,1000.0,308.963837,0.546875,0.0
1,E_Failure_CollRed,1000.0,308.963837,0.546875,0.0
1,E_Failure_CollRed,1000.0,308.963837,0.546875,0.0
1,E_Failure_CollRed,1000.0,308.963837,0.546875,0.0
1,E_Failure_CollRed,1000.0,309.510712,0.549591,0.0
1,E_Success_CollGreen,1000.0,309.510712,0.549591,0.0
1,E_Failure_CollRed,1000.0,309.510712,0.549591,0.0
1,E_Success_CollGreen,1000.0,309.510712,0.549591,0.0
1,E_Failure_CollRed,1000.0,310.060303,0.547424,0.0
1,E_Failure_CollRed,1000.0,310.060303,0.547424,0.0
1,E_Failure_CollRed,1000.0,310.060303,0.547424,0.0
1,E_Failure_CollRed,1000.0,310.060303,0.547424,0.0
1,E_Failure_CollRed,1000.0,310.607727,0.549591,0.0
1,E_Success_CollGreen,1000.0,310.607727,0.549591,0.0
1,E_Failure_CollRed,1000.0,310.607727,0.549591,0.0
1,E_Failure_CollRed,1000.0,310.607727,0.549591,0.0
1,E_Failure_CollRed,1000.0,311.157318,0.547363,0.0
1,E_Success_CollGreen,1000.0,311.157318,0.547363,0.0
1,E_Failure_CollRed,1000.0,311.157318,0.547363,0.0
1,E_Success_CollGreen,1000.0,311.157318,0.547363,0.0
1,E_Success_CollGreen,1000.0,311.704681,0.547699,0.0
1,E_Success_CollGreen,1000.0,311.704681,0.547699,0.3
1,E_Failure_CollRed,1000.0,311.704681,0.547699,0.35
1,E_Failure_CollRed,1000.0,311.704681,0.547699,0.35
1,E_Success_CollGreen,1000.0,312.25238,0.547943,0.35
1,E_Failure_CollRed,1000.0,312.25238,0.547943,0.4
1,E_Failure_CollRed,1000.0,312.25238,0.547943,0.35
1,E_Success_CollGreen,1000.0,312.25238,0.547943,0.35
1,E_Success_CollGreen,1000.0,312.800323,0.548645,0.35
1,E_Success_CollGreen,1000.0,312.800323,0.548645,0.4
1,E_Failure_CollRed,1000.0,312.800323,0.548645,0.45
1,E_Success_CollGreen,1000.0,312.800323,0.548645,0.45
1,E_Success_CollGreen,1000.0,313.348969,0.547821,0.5
1,E_Failure_CollRed,1000.0,313.348969,0.547821,0.55
1,E_Failure_CollRed,1000.0,313.348969,0.547821,0.5
1,E_Failure_CollRed,1000.0,313.348969,0.547821,0.5
1,E_Success_CollGreen,1000.0,313.89679,0.548065,0.5
1,E_Success_CollGreen,1000.0,313.89679,0.548065,0.55
1,E_Success_CollGreen,1000.0,313.89679,0.548065,0.55
1,E_Success_CollGreen,1000.0,313.89679,0.548065,0.6
1,E_Failure_CollRed,1000.0,314.444855,0.546753,0.6
1,E_Failure_CollRed,1000.0,314.444855,0.546753,0.55
1,E_Success_CollGreen,1000.0,314.444855,0.546753,0.5
1,E_Success_CollGreen,1000.0,314.444855,0.546753,0.55
1,E_Success_CollGreen,1000.0,314.991608,0.550018,0.6
1,E_Failure_CollRed,1000.0,314.991608,0.550018,0.6
1,E_Failure_CollRed,1000.0,314.991608,0.550018,0.6
1,E_Success_CollGreen,1000.0,314.991608,0.550018,0.6
1,E_Success_CollGreen,1000.0,315.541626,0.548492,0.6
1,E_Failure_CollRed,1000.0,315.541626,0.548492,0.6
1,E_Failure_CollRed,1000.0,315.541626,0.548492,0.55
1,E_Failure_CollRed,1000.0,315.541626,0.548492,0.55
1,E_Failure_CollRed,1000.0,316.090118,0.548798,0.5
1,E_Failure_CollRed,1000.0,316.090118,0.548798,0.45
1,E_Success_CollGreen,1000.0,316.090118,0.548798,0.45
1,E_Success_CollGreen,1000.0,316.090118,0.548798,0.5
1,E_Failure_CollRed,1000.0,316.638916,0.549316,0.55
